municipio1,municipio2,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
Florianópolis,Belo Horizonte,0.6281072432569523,0.5793417459487805,0.5379762295523318,0.4876301076682202,0.43952447642501585,0.3981888439079471,0.3418741927550467,0.2813893228956389,0.22841029803643426,0.1757651973794186,0.12751263285489794,0.09077994841784996,0.0568534495495428
Florianópolis,Belém,0.08258983332601985,0.07777933426497752,0.07518232601989014,0.0728470478559489,0.0793470374620668,0.07043883080765247,0.06839790141428681,0.05594404827008614,0.03442741004189407,0.026458947528887233,0.01435633563536017,-0.00334237465971073,-0.025026162684442223
Florianópolis,Boa Vista,-0.17212007753994388,-0.18133007454533867,-0.18708858878923668,-0.1904614256747947,-0.19398497633107836,-0.19526255195818462,-0.19975748423269984,-0.20306419123794134,-0.20175278286659828,-0.1994591871636013,-0.19898781733419346,-0.19697958222802223,-0.19611379298673645
Florianópolis,Brasília,0.6106360482353295,0.5850642805329189,0.5405368123162165,0.48721032232326567,0.43168755736613307,0.389026785269653,0.3499345363725788,0.30090054461429916,0.24088096419490077,0.19026666609089363,0.14213859770297174,0.09389470418484137,0.05217696463770239
Florianópolis,Campo Grande,0.30007347732401635,0.31976039669532164,0.3345543049892317,0.3516127708875445,0.36109847843317905,0.3605015390810223,0.3461809994972318,0.32448295447584496,0.2992556982242512,0.28364985221217126,0.27010718221145064,0.2456603383565283,0.2144323902044018
Florianópolis,Cuiabá,-0.015835725840070165,-0.015177665273762617,-0.014246208645179701,-0.013384083628746327,-0.01235372946969191,-0.01206236843335015,-0.010995843885077579,-0.011520017389163716,-0.01317793517660843,-0.015738865427660335,-0.01751206493627462,-0.019109762549950206,-0.024849405366314782
Florianópolis,Curitiba,0.8493348155054902,0.8240767698996534,0.7927992568154018,0.7519861740089997,0.7092634306804075,0.6752866956551248,0.6340974491307144,0.5722178925206967,0.4893817466094903,0.43570896993137925,0.39001008194483294,0.3416413583380715,0.29212050517811083
Florianópolis,Florianópolis,0.9999999999999998,0.8882422363263789,0.834451860580819,0.7978309002389716,0.7644794849480113,0.7607062303495797,0.7164176595236418,0.6714659457881464,0.6232138392561135,0.5788757583892099,0.5070100377123979,0.46506130105356686,0.4163692001102983
Florianópolis,Fortaleza,0.10257153695018592,0.067834930300694,0.042718206342083793,0.022264519353891274,0.004195228683660319,-0.01402879810942738,-0.03245524377636782,-0.04974726092813843,-0.062975555788816,-0.0772308233700764,-0.08697244461230583,-0.09435131619035389,-0.103689443982609
Florianópolis,Goiânia,0.48816802185399577,0.4783980386262054,0.45921910281716466,0.4411223103093369,0.4186209668865679,0.3941395552276257,0.3605313359418445,0.32039263246233174,0.2744882951242708,0.2308923294759233,0.19553963622429196,0.15610949697482998,0.11873258071478578
Florianópolis,João Pessoa,0.3583948503438039,0.3116650333772038,0.263694457724889,0.2182560141435682,0.17792691711696287,0.13690725231487574,0.09994634238456375,0.0641608649087413,0.027024730432192754,-0.00414947415191858,-0.027964512130671013,-0.05023240428967046,-0.06718992355071024
Florianópolis,Macapá,0.09418024225193516,0.07462792077934706,0.05580949752523981,0.03864777640977995,0.017700762427873846,0.00541550016372505,-0.017076661653850102,-0.040837853102171556,-0.05841899819052929,-0.07324637873514017,-0.08372529694947044,-0.09522391881305373,-0.09899191483702234
Florianópolis,Maceió,0.0056734033563595075,-0.02071902561009459,-0.0459105209881575,-0.06624443254222309,-0.08476201325425864,-0.10365028042216415,-0.1168677144201396,-0.13565541213646523,-0.1512274976100763,-0.162014321839315,-0.17246327159344488,-0.1776705898924543,-0.1839255314142357
Florianópolis,Manaus,0.03203270407578846,0.02814662714176589,0.023049579586512263,0.02221467296843517,0.019429985318351713,0.014719791404084696,0.010018290471440873,0.004162468428159766,-0.0025620545042550633,-0.009027313772050757,-0.019569515893295128,-0.028748608384176446,-0.04063660848605688
Florianópolis,Natal,0.36888006078510277,0.34146898985007623,0.3062232312986473,0.2884689229716404,0.26244490940204535,0.23715764893413102,0.20632824816367937,0.1682007467931762,0.12462927968859176,0.07099138947572707,0.028691534262419827,-0.011395114131692214,-0.04149332999824383
Florianópolis,Palmas,0.4178673757993162,0.4314190795606357,0.4319226961445067,0.4357283835526519,0.42699140724961515,0.4238981903869115,0.4131600563533426,0.3910318679818654,0.3596540435756457,0.3218494182031338,0.278748686418634,0.2313707241804068,0.1818447512858868
Florianópolis,Porto Alegre,0.6969087691220366,0.6483378699880533,0.5927845229331381,0.5216829526372878,0.478869265412438,0.45430662466924004,0.414302051859575,0.3475204921699174,0.28076601227043674,0.23880979584286507,0.20003181530863562,0.152188515455374,0.11497887969085101
Florianópolis,Porto Velho,0.12200473211558081,0.12331050465915137,0.11506264854461172,0.10916070933843072,0.10428628344404448,0.10213946446749073,0.09537128823189478,0.07886127898969479,0.06474297256594616,0.05250470535406069,0.04311918518174494,0.03170126132486069,0.019007865575571534
Florianópolis,Recife,0.4416144658622638,0.45424728386850155,0.45989626365040753,0.4549289441415908,0.45169072329135035,0.4501370589198411,0.44824884074728744,0.43118393759134305,0.4156966631051347,0.3907367080683055,0.3737489230453288,0.3558225368394971,0.325206137262803
Florianópolis,Rio Branco,0.029535510930636368,0.03347765045935999,0.03534257186771996,0.03456898857195987,0.028432420431917464,0.022993684287558148,0.015313147154270762,0.01005965406328885,-0.0009637147962410922,-0.011843951707721958,-0.020564642873180026,-0.03382992619622375,-0.047663640057768825
Florianópolis,Rio de Janeiro,0.05262855163851337,0.037074921837936405,0.019566688977822846,0.0032602366328708748,-0.015052267409421553,-0.032895236555849756,-0.049305209510875726,-0.06332116096121686,-0.07445064884461859,-0.0822318671688674,-0.08898295010700495,-0.09626806344795771,-0.1042903331559155
Florianópolis,Salvador,0.00819332259397085,-0.013002324506895748,-0.02683046539936476,-0.0450765172640577,-0.0555253672330652,-0.06594439964002034,-0.07012064820950631,-0.07813387895167781,-0.09198435010273269,-0.10006356854752874,-0.10422346093976544,-0.10776764125967649,-0.11184407428923286
Florianópolis,São Luís,0.39849319007444184,0.3868512061997475,0.3466000921612745,0.3010116987834829,0.2583702317888492,0.2132581713072994,0.1660113298840988,0.12506860504787648,0.08697723457962932,0.05752710935882588,0.04564811157932012,0.01964957601220951,-0.0033444195599789286
Florianópolis,São Paulo,0.1341366969944815,0.12827064542594527,0.1242145572872299,0.1284240288632993,0.1321944034862947,0.1172444293679219,0.09506937672241585,0.08572947957561752,0.06785252503849003,0.043660447281819906,0.02341625082039207,0.002216121274738002,-0.006202746330557364
Florianópolis,Teresina,0.1274188768796777,0.10675444393504983,0.087029002204697,0.06259118824684211,0.03367494125975838,0.008637676029547988,-0.014563041979704034,-0.0403401160260356,-0.062268516898729045,-0.0803049053999203,-0.09430817536854325,-0.10243792971453676,-0.11507566725266165
Florianópolis,Vitória,0.15181057228137618,0.1436851678615573,0.1288834803578646,0.12374053070750224,0.12049271168507693,0.11157468035635007,0.10421002180969303,0.09038112512089352,0.07427889076538022,0.06437016587211122,0.05058297383547734,0.03404930114417651,0.018006958132048324
Fortaleza,Aracaju,0.47138630271880766,0.4928393304047556,0.49983945848232986,0.4842287412926747,0.454771381652907,0.4156764784142835,0.3659310819852098,0.3130611526294257,0.2600356732419844,0.20753030968521632,0.16309689191973317,0.12635778943112838,0.09469623658418332
Fortaleza,Belo Horizonte,0.11816969407109076,0.14467753752248608,0.17178391608996418,0.19451039349713214,0.2099962361433828,0.22493251377395707,0.23892617907338173,0.24473707017007884,0.24832509345141135,0.25125589866076803,0.2460149908730797,0.23359223479561328,0.21920477043328593
