,Trees,train-rmse-mean,train-rmse-std,Mean RMSE,test-rmse-std
77,77,110.7998244,0.15015351123247014,110.8204772,0.6228403512568532
78,78,110.7611404,0.15048204210416954,110.78169559999999,0.6222544721930409
79,79,110.72151019999998,0.14940573778593622,110.74213879999999,0.6230189908557843
80,80,110.683232,0.14891056932535168,110.7040666,0.6232893701264627
81,81,110.64443980000001,0.15002423694777048,110.6653732,0.6217294248965217
82,82,110.60853260000002,0.1488622452371284,110.62964940000002,0.6223981580562723
83,83,110.571451,0.1506343048578266,110.5926332,0.6204335691625361
84,84,110.53592840000002,0.1486567293755635,110.5574036,0.6222024930967766
85,85,110.49982279999999,0.14936843922114248,110.52147240000002,0.6211915596943034
86,86,110.4661928,0.14837050190573334,110.4878128,0.6214993164364385
87,87,110.431256,0.14993365401403366,110.453035,0.6197684433670353
