dt_sintoma,co_municipio,municipio,ocorrencias
1945-09-16,1100205,Porto Velho,0
1945-09-23,1100205,Porto Velho,0
1945-09-30,1100205,Porto Velho,0
1945-10-07,1100205,Porto Velho,0
1945-10-14,1100205,Porto Velho,0
1945-10-21,1100205,Porto Velho,0
1945-10-28,1100205,Porto Velho,0
1945-11-04,1100205,Porto Velho,0
1945-11-11,1100205,Porto Velho,0
1945-11-18,1100205,Porto Velho,0
1945-11-25,1100205,Porto Velho,0
1945-12-02,1100205,Porto Velho,0
1945-12-09,1100205,Porto Velho,0
1945-12-16,1100205,Porto Velho,0
1945-12-23,1100205,Porto Velho,0
1945-12-30,1100205,Porto Velho,0
1946-01-06,1100205,Porto Velho,0
1946-01-13,1100205,Porto Velho,0
1946-01-20,1100205,Porto Velho,0
1946-01-27,1100205,Porto Velho,0
1946-02-03,1100205,Porto Velho,0
1946-02-10,1100205,Porto Velho,0
1946-02-17,1100205,Porto Velho,0
1946-02-24,1100205,Porto Velho,0
1946-03-03,1100205,Porto Velho,0
1946-03-10,1100205,Porto Velho,0
1946-03-17,1100205,Porto Velho,0
1946-03-24,1100205,Porto Velho,0
1946-03-31,1100205,Porto Velho,0
1946-04-07,1100205,Porto Velho,0
1946-04-14,1100205,Porto Velho,0
1946-04-21,1100205,Porto Velho,0
1946-04-28,1100205,Porto Velho,0
1946-05-05,1100205,Porto Velho,0
1946-05-12,1100205,Porto Velho,0
1946-05-19,1100205,Porto Velho,0
1946-05-26,1100205,Porto Velho,0
1946-06-02,1100205,Porto Velho,0
1946-06-09,1100205,Porto Velho,0
1946-06-16,1100205,Porto Velho,0
1946-06-23,1100205,Porto Velho,0
1946-06-30,1100205,Porto Velho,0
1946-07-07,1100205,Porto Velho,0
1946-07-14,1100205,Porto Velho,0
1946-07-21,1100205,Porto Velho,0
1946-07-28,1100205,Porto Velho,0
1946-08-04,1100205,Porto Velho,0
1946-08-11,1100205,Porto Velho,0
1946-08-18,1100205,Porto Velho,0
1946-08-25,1100205,Porto Velho,0
1946-09-01,1100205,Porto Velho,0
1946-09-08,1100205,Porto Velho,0
1946-09-15,1100205,Porto Velho,0
1946-09-22,1100205,Porto Velho,0
1946-09-29,1100205,Porto Velho,0
1946-10-06,1100205,Porto Velho,0
1946-10-13,1100205,Porto Velho,0
1946-10-20,1100205,Porto Velho,0
1946-10-27,1100205,Porto Velho,0
1946-11-03,1100205,Porto Velho,0
1946-11-10,1100205,Porto Velho,0
1946-11-17,1100205,Porto Velho,0
1946-11-24,1100205,Porto Velho,0
1946-12-01,1100205,Porto Velho,0
1946-12-08,1100205,Porto Velho,0
1946-12-15,1100205,Porto Velho,0
1946-12-22,1100205,Porto Velho,0
1946-12-29,1100205,Porto Velho,0
1947-01-05,1100205,Porto Velho,0
1947-01-12,1100205,Porto Velho,0
1947-01-19,1100205,Porto Velho,0
1947-01-26,1100205,Porto Velho,0
1947-02-02,1100205,Porto Velho,0
1947-02-09,1100205,Porto Velho,0
1947-02-16,1100205,Porto Velho,0
1947-02-23,1100205,Porto Velho,0
1947-03-02,1100205,Porto Velho,0
1947-03-09,1100205,Porto Velho,0
1947-03-16,1100205,Porto Velho,0
1947-03-23,1100205,Porto Velho,0
1947-03-30,1100205,Porto Velho,0
1947-04-06,1100205,Porto Velho,0
1947-04-13,1100205,Porto Velho,0
1947-04-20,1100205,Porto Velho,0
1947-04-27,1100205,Porto Velho,0
1947-05-04,1100205,Porto Velho,0
1947-05-11,1100205,Porto Velho,0
1947-05-18,1100205,Porto Velho,0
1947-05-25,1100205,Porto Velho,0
1947-06-01,1100205,Porto Velho,0
1947-06-08,1100205,Porto Velho,0
1947-06-15,1100205,Porto Velho,0
1947-06-22,1100205,Porto Velho,0
1947-06-29,1100205,Porto Velho,0
1947-07-06,1100205,Porto Velho,0
1947-07-13,1100205,Porto Velho,0
1947-07-20,1100205,Porto Velho,0
1947-07-27,1100205,Porto Velho,0
1947-08-03,1100205,Porto Velho,0
1947-08-10,1100205,Porto Velho,0
1947-08-17,1100205,Porto Velho,0
1947-08-24,1100205,Porto Velho,0
1947-08-31,1100205,Porto Velho,0
1947-09-07,1100205,Porto Velho,0
1947-09-14,1100205,Porto Velho,0
1947-09-21,1100205,Porto Velho,0
1947-09-28,1100205,Porto Velho,0
1947-10-05,1100205,Porto Velho,0
